round,gini_progressive,gini_flat
0,0.595330,0.595330
200,0.880960,0.880960
400,0.880960,0.880960
600,0.880960,0.880960
800,0.880960,0.880960
1000,0.880960,0.880960
1200,0.880960,0.880960
1400,0.880960,0.880960
1600,0.880960,0.880960
1800,0.880960,0.880960
2000,0.880960,0.880960
2200,0.880960,0.880960
2400,0.880960,0.880960
2600,0.880960,0.880960
2800,0.880960,0.880960
3000,0.880960,0.880960
3200,0.880960,0.880960
3400,0.880960,0.880960
3600,0.880960,0.880960
3800,0.880960,0.880960
4000,0.880960,0.880960
4200,0.880960,0.880960
4400,0.880960,0.880960
4600,0.880960,0.880960
4800,0.880960,0.880960
5000,0.880960,0.880960
5200,0.880960,0.880960
5400,0.880960,0.880960
5600,0.880960,0.880960
5800,0.880960,0.880960
6000,0.880960,0.880960
6200,0.880960,0.880960
6400,0.880960,0.880960
6600,0.880960,0.880960
6800,0.880960,0.880960
7000,0.880960,0.880960
7200,0.880960,0.880960
7400,0.880960,0.880960
7600,0.880960,0.880960
7800,0.880960,0.880960
8000,0.880960,0.880960
8200,0.880960,0.880960
8400,0.880960,0.880960
8600,0.880960,0.880960
8800,0.880960,0.880960
9000,0.880960,0.880960
9200,0.880960,0.880960
9400,0.880960,0.880960
9600,0.880960,0.880960
9800,0.880960,0.880960
10000,0.880960,0.880960
10200,0.880960,0.880960
10400,0.880960,0.880960
10600,0.880960,0.880960
10800,0.880960,0.880960
11000,0.880960,0.880960
11200,0.880960,0.880960
11400,0.880960,0.880960
11600,0.880960,0.880960
11800,0.880960,0.880960
12000,0.880960,0.880960
12200,0.880960,0.880960
12400,0.880960,0.880960
12600,0.880960,0.880960
12800,0.880960,0.880960
13000,0.880960,0.880960
13200,0.880960,0.880960
13400,0.880960,0.880960
13600,0.880960,0.880960
13800,0.880960,0.880960
14000,0.880960,0.880960
14200,0.880960,0.880960
14400,0.880960,0.880960
14600,0.880960,0.880960
14800,0.880960,0.880960
15000,0.880960,0.880960
15200,0.880960,0.880960
15400,0.880960,0.880960
15600,0.880960,0.880960
15800,0.880960,0.880960
16000,0.880960,0.880960
16200,0.880960,0.880960
16400,0.880960,0.880960
16600,0.880960,0.880960
16800,0.880960,0.880960
17000,0.880960,0.880960
17200,0.880960,0.880960
17400,0.880960,0.880960
17600,0.880960,0.880960
17800,0.880960,0.880960
18000,0.880960,0.880960
18200,0.880960,0.880960
18400,0.880960,0.880960
18600,0.880960,0.880960
18800,0.880960,0.880960
19000,0.880960,0.880960
19200,0.880960,0.880960
19400,0.880960,0.880960
19600,0.880960,0.880960
19800,0.880960,0.880960
20000,0.880960,0.880960
