round,gini_coefficient,total_wealth,num_agents,total_fees,transaction_count,tag_entropy,top_1_pct_share,top_10_pct_share,q1_fee_rate,q2_fee_rate,q3_fee_rate,q4_fee_rate,q5_fee_rate
0,0.595330,341665,116,0,0,0.000000,0.079999,0.575608,100.00,100.00,100.00,100.00,100.00
200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
1000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
1200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
1400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
1600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
1800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
2000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
2200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
2400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
2600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
2800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
3000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
3200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
3400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
3600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
3800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
4000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
4200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
4400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
4600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
4800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
5000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
5200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
5400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
5600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
5800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
6000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
6200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
6400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
6600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
6800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
7000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
7200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
7400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
7600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,100.00,100.00,100.00,100.00,100.00
