round,gini_coefficient,total_wealth,num_agents,total_fees,transaction_count,tag_entropy,top_1_pct_share,top_10_pct_share,q1_fee_rate,q2_fee_rate,q3_fee_rate,q4_fee_rate,q5_fee_rate
0,0.595330,341665,116,0,0,0.000000,0.079999,0.575608,298.00,298.00,298.00,298.00,925.10
200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
1000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
1200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
1400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
1600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
1800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
2000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
2200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
2400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
2600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
2800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
3000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
3200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
3400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
3600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
3800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
4000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
4200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
4400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
4600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
4800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
5000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
5200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
5400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
5600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
5800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
6000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
6200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
6400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
6600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
6800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
7000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
7200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
7400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
7600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
7800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
8000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
8200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
8400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
8600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
8800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
9000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
9200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
9400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
9600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
9800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
10000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
10200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
10400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
10600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
10800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
11000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
11200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
11400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
11600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
11800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
12000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
12200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
12400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
12600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
12800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
13000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
13200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
13400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
13600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
13800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
14000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
14200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
14400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
14600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
14800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
15000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
15200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
15400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
15600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
15800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
16000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
16200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
16400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
16600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
16800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
17000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
17200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
17400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
17600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
17800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
18000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
18200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
18400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
18600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
18800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
19000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
19200,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
19400,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
19600,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
19800,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
20000,0.880960,338861,116,2804,2058,0.217554,0.080661,0.773444,293.00,293.00,293.00,293.00,757.30
