id,status,transactions,cost_currency,fee_bth,security_extra_currency
small-p0.01-u0-d30,evaluated,0,63.192000000,,240
small-p0.01-u0-d365,evaluated,0,63.192000000,,240
small-p0.01-u0.01-d30,evaluated,8640.00,63.40290240000,0.73382988888888888888888888888888888888888888888889,240
small-p0.01-u0.01-d365,evaluated,8640.00,63.61129920000,0.73624188888888888888888888888888888888888888888889,240
small-p0.01-u0.1-d30,evaluated,86400.0,65.3010240000,0.075579888888888888888888888888888888888888888888889,240
small-p0.01-u0.1-d365,evaluated,86400.0,67.3849920000,0.077991888888888888888888888888888888888888888888889,240
small-p0.01-u0.8-d30,evaluated,691200.0,80.0641920000,0.011583361111111111111111111111111111111111111111111,240
small-p0.01-u0.8-d365,evaluated,691200.0,96.7359360000,0.013995361111111111111111111111111111111111111111111,240
small-p1-u0-d30,evaluated,0,63.192000000,,240
small-p1-u0-d365,evaluated,0,63.192000000,,240
small-p1-u0.01-d30,evaluated,8640.00,63.40290240000,0.0073382988888888888888888888888888888888888888888889,240
small-p1-u0.01-d365,evaluated,8640.00,63.61129920000,0.0073624188888888888888888888888888888888888888888889,240
small-p1-u0.1-d30,evaluated,86400.0,65.3010240000,0.00075579888888888888888888888888888888888888888888889,240
small-p1-u0.1-d365,evaluated,86400.0,67.3849920000,0.00077991888888888888888888888888888888888888888888889,240
small-p1-u0.8-d30,evaluated,691200.0,80.0641920000,0.00011583361111111111111111111111111111111111111111111,240
small-p1-u0.8-d365,evaluated,691200.0,96.7359360000,0.00013995361111111111111111111111111111111111111111111,240
small-p100-u0-d30,evaluated,0,63.192000000,,240
small-p100-u0-d365,evaluated,0,63.192000000,,240
small-p100-u0.01-d30,evaluated,8640.00,63.40290240000,0.000073382988888888888888888888888888888888888888888889,240
small-p100-u0.01-d365,evaluated,8640.00,63.61129920000,0.000073624188888888888888888888888888888888888888888889,240
small-p100-u0.1-d30,evaluated,86400.0,65.3010240000,0.0000075579888888888888888888888888888888888888888888889,240
small-p100-u0.1-d365,evaluated,86400.0,67.3849920000,0.0000077991888888888888888888888888888888888888888888889,240
small-p100-u0.8-d30,evaluated,691200.0,80.0641920000,0.0000011583361111111111111111111111111111111111111111111,240
small-p100-u0.8-d365,evaluated,691200.0,96.7359360000,0.0000013995361111111111111111111111111111111111111111111,240
medium-p0.01-u0-d30,evaluated,0,631.920000000,,2400
medium-p0.01-u0-d365,evaluated,0,631.920000000,,2400
medium-p0.01-u0.01-d30,evaluated,8640.00,634.02902400000,7.3382988888888888888888888888888888888888888888889,2400
medium-p0.01-u0.01-d365,evaluated,8640.00,636.11299200000,7.3624188888888888888888888888888888888888888888889,2400
medium-p0.01-u0.1-d30,evaluated,86400.0,653.0102400000,0.75579888888888888888888888888888888888888888888889,2400
medium-p0.01-u0.1-d365,evaluated,86400.0,673.8499200000,0.77991888888888888888888888888888888888888888888889,2400
medium-p0.01-u0.8-d30,evaluated,691200.0,800.6419200000,0.11583361111111111111111111111111111111111111111111,2400
medium-p0.01-u0.8-d365,evaluated,691200.0,967.3593600000,0.13995361111111111111111111111111111111111111111111,2400
medium-p1-u0-d30,evaluated,0,631.920000000,,2400
medium-p1-u0-d365,evaluated,0,631.920000000,,2400
medium-p1-u0.01-d30,evaluated,8640.00,634.02902400000,0.073382988888888888888888888888888888888888888888889,2400
medium-p1-u0.01-d365,evaluated,8640.00,636.11299200000,0.073624188888888888888888888888888888888888888888889,2400
medium-p1-u0.1-d30,evaluated,86400.0,653.0102400000,0.0075579888888888888888888888888888888888888888888889,2400
medium-p1-u0.1-d365,evaluated,86400.0,673.8499200000,0.0077991888888888888888888888888888888888888888888889,2400
medium-p1-u0.8-d30,evaluated,691200.0,800.6419200000,0.0011583361111111111111111111111111111111111111111111,2400
medium-p1-u0.8-d365,evaluated,691200.0,967.3593600000,0.0013995361111111111111111111111111111111111111111111,2400
medium-p100-u0-d30,evaluated,0,631.920000000,,2400
medium-p100-u0-d365,evaluated,0,631.920000000,,2400
